Altium Designer Pick and Place Locations
C:\ALTIUM\door-controller-single-pcb\Output\PRODUCTION\Pick Place\Door_Controller_Single_Pick Place_Rev_0.1.0_[No Variations].txt

========================================================================================================================
File Design Information:

Date:       30.09.22
Time:       17:28
Revision:   d8092369495a641874db644097960199249c4db3
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                     
R56        10kR                   TopLayer    RES_0603                          1740.000      -1730.000     90       "RES SMD 10K OHM 5% 1/10W 0603"                 
C84        22uF                   TopLayer    CAP_1210                          -2320.000     50.000        0        "CAP CER 22UF 25V X7R 1210"                     
C30        22uF                   BottomLayer CAP_1210                          -40.000       -350.000      0        "CAP CER 22UF 25V X7R 1210"                     
C15        22uF                   BottomLayer CAP_1210                          0.000         380.000       0        "CAP CER 22UF 25V X7R 1210"                     
C14        22uF                   BottomLayer CAP_1210                          0.000         530.000       0        "CAP CER 22UF 25V X7R 1210"                     
C13        22uF                   BottomLayer CAP_1210                          0.000         680.000       0        "CAP CER 22UF 25V X7R 1210"                     
C7         22uF                   BottomLayer CAP_1210                          -710.000      380.000       0        "CAP CER 22UF 25V X7R 1210"                     
C6         22uF                   BottomLayer CAP_1210                          -710.000      530.000       0        "CAP CER 22UF 25V X7R 1210"                     
J9         USB3106-30-0230-A      BottomLayer USB3106-30-0230-A                 -2188.976     690.000       270      "CONN MICRO A/B SKT VERTICAL TH"                
TP1        TEST_POINT_SMT         BottomLayer TEST_POINT_SMT                    0.000         -80.000       180      "STM test point"                                
R13        33R                    BottomLayer RES_0603                          465.000       -315.000      180      "RES 33 OHM 5% 1/10W 0603"                      
U18        SP3071EEN-L/TR         BottomLayer SOIC-8_150MIL                     -1020.000     650.000       180      "IC RS485 TRANSCEIVER FULL 1/1 8SOIC"           
U17        AP2151WG-7             TopLayer    SOT-23-5                          -2350.000     550.000       270      "IC PWR SW USB 1CH 0.5A SOT-25-5"               
U16        AP62150WU-7            TopLayer    SOT-23-6                          -2120.000     130.000       0        "IC DCDC CONV BUCK 1.5A TSOT26T"                
U8         SRV05-4ATR             BottomLayer SOT-23-6                          -2380.000     -1240.000     180      "TVS DIODE 5VWM 17.5VC SOT23-6"                 
R126       100R                   TopLayer    RES_0603                          240.000       -2040.000     0        "RES 100 OHM 5% 1/10W 0603"                     
R125       100R                   TopLayer    RES_0603                          -120.000      -2040.000     0        "RES 100 OHM 5% 1/10W 0603"                     
R123       100R                   TopLayer    RES_0603                          240.000       -2260.000     0        "RES 100 OHM 5% 1/10W 0603"                     
R122       100R                   TopLayer    RES_0603                          -120.000      -2260.000     0        "RES 100 OHM 5% 1/10W 0603"                     
R118       51kR                   TopLayer    RES_0603                          140.000       -1770.000     270      "RES 51K OHM 5% 1/10W 0603"                     
R115       10kR                   BottomLayer RES_0603                          860.000       -450.000      0        "RES SMD 10K OHM 5% 1/10W 0603"                 
R109       10kR                   BottomLayer RES_0603                          860.000       590.000       180      "RES SMD 10K OHM 5% 1/10W 0603"                 
R83        1kR                    BottomLayer RES_0603                          -810.000      -460.000      270      "RES 1K OHM 5% 1/10W 0603"                      
R73        22.1kR                 TopLayer    RES_0603                          -2120.000     -30.000       0        "RES 22.1K OHM 1% 1/10W 0603"                   
R72        10kR                   TopLayer    RES_0603                          -2470.000     700.000       90       "RES SMD 10K OHM 5% 1/10W 0603"                 
R71        10kR                   TopLayer    RES_0603                          -2000.000     60.000        270      "RES SMD 10K OHM 5% 1/10W 0603"                 
R70        1kR                    TopLayer    RES_0603                          -1890.000     550.000       270      "RES 1K OHM 5% 1/10W 0603"                      
R69        2kR                    TopLayer    RES_0603                          -1830.000     550.000       90       "RES 2K OHM 5% 1/10W 0603"                      
R26        10kR                   BottomLayer RES_0603                          -1910.000     -1435.000     90       "RES SMD 10K OHM 5% 1/10W 0603"                 
R25        51kR                   BottomLayer RES_0603                          -2440.000     -1435.000     90       "RES 51K OHM 5% 1/10W 0603"                     
R24        51kR                   BottomLayer RES_0603                          -2370.000     -1435.000     90       "RES 51K OHM 5% 1/10W 0603"                     
R23        51kR                   BottomLayer RES_0603                          -2300.000     -1435.000     90       "RES 51K OHM 5% 1/10W 0603"                     
R22        51kR                   BottomLayer RES_0603                          -2120.000     -1435.000     90       "RES 51K OHM 5% 1/10W 0603"                     
R15        33R                    BottomLayer RES_0603                          -295.090      -832.328      90       "RES 33 OHM 5% 1/10W 0603"                      
L4         4.7uH                  TopLayer    LQH3NPN                           -2120.000     279.997       180      "FIXED IND 4.7UH 1A 120 MOHM SMD"               
J5         0475710001             BottomLayer 475710001                         -2200.000     -1000.000     0        "CONN MICRO SD CARD PUSH-PULL R/A"              
C88        2.2uF                  TopLayer    CAP_0603                          -2350.000     670.000       0        "CAP CER 2.2UF 10V X7R 0603"                    
C87        100nF                  TopLayer    CAP_0603                          -2350.000     740.000       0        "CAP CER 0.1UF 50V X7R 0603"                    
C86        100nF                  TopLayer    CAP_0603                          -2350.000     430.000       0        "CAP CER 0.1UF 50V X7R 0603"                    
C85        22uF                   TopLayer    CAP_1210                          -2320.000     280.000       0        "CAP CER 22UF 25V X7R 1210"                     
C83        100nF                  TopLayer    CAP_0603                          -2000.000     200.000       270      "CAP CER 0.1UF 50V X7R 0603"                    
C79        100nF                  TopLayer    CAP_0603                          1610.000      -1190.000     270      "CAP CER 0.1UF 50V X7R 0603"                    
C78        22uF                   TopLayer    CAP_1210                          1510.000      -1160.000     270      "CAP CER 22UF 25V X7R 1210"                     
C70        4.7uF                  TopLayer    CAP_0603                          -150.000      2150.000      270      "CAP CER 4.7UF 6.3V X7R 0603"                   
C64        4.7uF                  TopLayer    CAP_0603                          -630.000      2370.000      0        "CAP CER 4.7UF 6.3V X7R 0603"                   
C63        22uF                   TopLayer    CAP_1210                          -1060.000     1830.000      180      "CAP CER 22UF 25V X7R 1210"                     
C59        22uF                   TopLayer    CAP_1210                          -1510.000     -1490.000     0        "CAP CER 22UF 25V X7R 1210"                     
C58        100nF                  TopLayer    CAP_0603                          980.000       -1900.000     0        "CAP CER 0.1UF 50V X7R 0603"                    
C52        100nF                  BottomLayer CAP_0603                          -2180.000     -1240.000     90       "CAP CER 0.1UF 50V X7R 0603"                    
C51        22uF                   TopLayer    CAP_1210                          -2200.000     -930.000      0        "CAP CER 22UF 25V X7R 1210"                     
C10        10uF                   BottomLayer CAP_1210                          0.000         1030.000      0        "CAP CER 10UF 50V X7R 1210"                     
J14        1250360000             BottomLayer 1250360000                        -1507.000     -820.000      270      "TERM BLK 2P TOP ENTRY 3.5MM SMD"               
FB4        BLM31KN601SZ1L         BottomLayer FB_1206                           -900.000      -820.000      270      "FERRITE BEAD 600 OHM 2.9A 1206 1LN"            
FB3        BLM31KN601SZ1L         BottomLayer FB_1206                           -900.000      80.000        270      "FERRITE BEAD 600 OHM 2.9A 1206 1LN"            
F3         0ZCG0050AF2C           BottomLayer PTC_1812                          -1040.000     -820.000      90       "PTC RESET FUSE 30V 500MA 1812"                 
D11        SMAJ12A-13-F           BottomLayer SMA                               -1200.000     -820.000      270      "TVS DIODE 12VWM 19.9VC SMA"                    
JP4        M20-8770342            BottomLayer M20-8770342                       770.000       -770.000      0        "CONN HEADER SMD 3POS 2.54MM"                   
JP3        M20-8770342            BottomLayer M20-8770342                       770.000       -250.000      0        "CONN HEADER SMD 3POS 2.54MM"                   
JP2        M20-8770342            BottomLayer M20-8770342                       770.000       270.000       0        "CONN HEADER SMD 3POS 2.54MM"                   
JP1        M20-8770342            BottomLayer M20-8770342                       770.000       790.000       0        "CONN HEADER SMD 3POS 2.54MM"                   
TP5        TEST_POINT_TH          BottomLayer TEST_POINT_TH                     -2450.000     1200.000      270      "TH TETS POINT"                                 
J10        1250360000             BottomLayer 1250360000                        -1507.000     840.000       270      "TERM BLK 2P TOP ENTRY 3.5MM SMD"               
FL1        BNX022-01L             BottomLayer BNX022-01L                        -370.000      1520.000      180      "FILTER LC 5TH ORDER SMD"                       
C16        22nF                   BottomLayer CAP_0603                          470.000       940.000       180      "CAP CER 0.022UF 50V X7R 0603"                  
C8         22nF                   BottomLayer CAP_0603                          -240.000      940.000       180      "CAP CER 0.022UF 50V X7R 0603"                  
Y1         ECS-327MVATX-1-CN-TR   TopLayer    ECS-327MVATX-1-CN-TR              1580.000      -1450.000     0        "XTAL OSC XO 32.768KHZ SMD"                     
X3         25MHz                  TopLayer    NX2016SA-25MHZ-EXS00A-CS11365     -440.000      1900.000      0        "Crystal 25.0000MHZ 6PF SMD"                    
X2         32.768kHz              TopLayer    NX2012SA-32.768KHZ-EXS00A-MU00626 600.000       -590.472      90       "Crystal 32.7680KHZ 6PF SMD"                    
X1         25MHz                  TopLayer    NX2016SA-25MHZ-EXS00A-CS11365     620.000       -212.047      0        "Crystal 25.0000MHZ 6PF SMD"                    
U21        74LV14AT14-13          TopLayer    TSSOP-14                          -10.000       -1850.000     270      "IC INVERTER 6CH 1-INP 14TSSOP"                 
U20        SM712.TCT              BottomLayer SOT-23-3                          -1090.000     460.000       0        "TVS DIODE 12V/7V 26V/12V SOT23-3"              
U19        SM712.TCT              BottomLayer SOT-23-3                          -1090.000     840.000       0        "TVS DIODE 12V/7V 26V/12V SOT23-3"              
U15        SRV05-4ATR             TopLayer    SOT-23-6                          -2040.000     550.000       0        "TVS DIODE 5VWM 17.5VC SOT23-6"                 
U14        ATWINC3400-MR210CA142  TopLayer    ATWINC3400-MR210CA142             2053.610      -1301.890     0        "MOD 802.11 BLUETOOTH 5 CHIP ANT"               
U13        LAN8742A-CZ-TR         TopLayer    VQFN-24                           -460.000      2120.000      90       "IC ETH TRANSCEIVER 1/1 24SQFN"                 
U12        SRV05-4ATR             TopLayer    SOT-23-6                          -1950.000     1460.000      90       "TVS DIODE 5VWM 17.5VC SOT23-6"                 
U11        AP3019AKTR-G1          TopLayer    SOT-23-6                          -1740.000     -1960.000     90       "IC LED DRVR RGLTR PWM TSOT23-6"                
U10        W25Q16JVSNIQ           TopLayer    SOIC-8_150MIL                     2210.000      330.000       180      "IC FLASH 16MBIT SPI/QUAD 8SOIC"                
U9         MB85RS2MTAPNF-G-BDERE1 TopLayer    SOIC-8_150MIL                     2210.000      -140.000      180      "IC FRAM 2MBIT SPI 40MHZ 8SOP"                  
U6         W9864G6KH-6            TopLayer    TSOP-54-II                        1700.000      1500.000      90       "IC DRAM 64MBIT PAR 54TSOP II"                  
